rank;level;female_ratio;country;state_us;geo_classification_europe_us
200;Senior Level;23.636364;Germany;;Europe
201;All Positions;40.909092;France;;Europe
201;Entry Level;46.153847;France;;Europe
201;Senior Level;33.333332;France;;Europe
202;All Positions;46.816479;Spain;;Europe
202;Entry Level;53.333332;Spain;;Europe
202;Senior Level;45.161289;Spain;;Europe
203;All Positions;33.57016;United States of America;New York;USA
203;Entry Level;44.444443;United States of America;New York;USA
203;Senior Level;30.113636;United States of America;New York;USA
204;All Positions;31.578947;Ireland;;Europe
204;Entry Level;25;Ireland;;Europe
204;Senior Level;50;Ireland;;Europe
205;All Positions;34.177216;United States of America;Georgia;USA
205;Entry Level;25;United States of America;Georgia;USA
205;Senior Level;37.5;United States of America;Georgia;USA
206;All Positions;29.05983;United States of America;Illinois;USA
206;Entry Level;37.5;United States of America;Illinois;USA
206;Senior Level;29.629629;United States of America;Illinois;USA
207;All Positions;17.874395;Greece;;Europe
207;Entry Level;20.408163;Greece;;Europe
207;Senior Level;18.253969;Greece;;Europe
208;All Positions;29.166666;United States of America;Ohio;USA
208;Entry Level;28.225807;United States of America;Ohio;USA
208;Senior Level;26.666666;United States of America;Ohio;USA
209;All Positions;31.578947;Canada;Canada;
209;Entry Level;37.037037;Canada;Canada;
209;Senior Level;31.746031;Canada;Canada;
210;All Positions;27.659575;Germany;;Europe
210;Entry Level;44.444443;Germany;;Europe
210;Senior Level;22.727272;Germany;;Europe
211;All Positions;18.965517;United States of America;Maryland;USA
211;Entry Level;45.454544;United States of America;Maryland;USA
211;Senior Level;8;United States of America;Maryland;USA
212;All Positions;28.395061;United States of America;Iowa;USA
212;Entry Level;18.75;United States of America;Iowa;USA
212;Senior Level;13.636364;United States of America;Iowa;USA
213;All Positions;23.076923;Sweden;;Europe
213;Entry Level;33.333332;Sweden;;Europe
213;Senior Level;20;Sweden;;Europe
214;All Positions;60.625;South Africa;;
214;Entry Level;64.545456;South Africa;;
214;Senior Level;57.777779;South Africa;;
215;All Positions;43.939392;France;;Europe
215;Entry Level;50;France;;Europe
215;Senior Level;36;France;;Europe
216;All Positions;23.71134;Switzerland;;Europe
216;Entry Level;20.689655;Switzerland;;Europe
216;Senior Level;30.76923;Switzerland;;Europe
217;All Positions;28.030304;United States of America;Maryland;USA
217;Entry Level;41.860466;United States of America;Maryland;USA
217;Senior Level;27.083334;United States of America;Maryland;USA
218;All Positions;26.086956;China;;
218;Entry Level;35.384617;China;;
218;Senior Level;18.571428;China;;
219;All Positions;13.333333;Chile;;
219;Entry Level;17.647058;Chile;;
219;Senior Level;12;Chile;;
220;All Positions;34.426231;Portugal;;Europe
220;Entry Level;35.772358;Portugal;;Europe
220;Senior Level;31.914894;Portugal;;Europe
221;All Positions;33.333332;Singapore;;
222;All Positions;31.325302;United States of America;Massachusetts;USA
222;Entry Level;45;United States of America;Massachusetts;USA
222;Senior Level;34.615383;United States of America;Massachusetts;USA
223;All Positions;29.787233;United Kingdom of Great Britain and Northern Ireland;;Europe
223;Entry Level;33.766235;United Kingdom of Great Britain and Northern Ireland;;Europe
223;Senior Level;25.842697;United Kingdom of Great Britain and Northern Ireland;;Europe
224;All Positions;35.294117;United States of America;South Carolina;USA
224;Entry Level;44.615383;United States of America;South Carolina;USA
224;Senior Level;26.785715;United States of America;South Carolina;USA
225;All Positions;31.111111;United States of America;Massachusetts;USA
225;Entry Level;27.777779;United States of America;Massachusetts;USA
225;Senior Level;35;United States of America;Massachusetts;USA
226;All Positions;41.935482;Poland;;Europe
226;Senior Level;42.857143;Poland;;Europe
227;All Positions;40.548782;Canada;Canada;
227;Senior Level;41.785713;Canada;Canada;
228;All Positions;27.338129;United States of America;Illinois;USA
228;Entry Level;19.047619;United States of America;Illinois;USA
228;Senior Level;10;United States of America;Illinois;USA
229;All Positions;31.060606;France;;Europe
229;Entry Level;35.483871;France;;Europe
229;Senior Level;15.789474;France;;Europe
230;All Positions;25.373135;Italy;;Europe
230;Entry Level;53.846153;Italy;;Europe
230;Senior Level;18.518518;Italy;;Europe
231;All Positions;19.354839;Italy;;Europe
231;Entry Level;25;Italy;;Europe
231;Senior Level;19.047619;Italy;;Europe
232;All Positions;34.945053;Australia;;
232;Entry Level;36.666668;Australia;;
232;Senior Level;35.652172;Australia;;
233;All Positions;28.571428;Canada;Canada;
233;Entry Level;10;Canada;Canada;
233;Senior Level;38.888889;Canada;Canada;
234;All Positions;22.222221;United States of America;North Carolina;USA
234;Entry Level;34.482758;United States of America;North Carolina;USA
234;Senior Level;21.333334;United States of America;North Carolina;USA
235;All Positions;42.711864;Italy;;Europe
235;Entry Level;50;Italy;;Europe
235;Senior Level;44.186047;Italy;;Europe
236;All Positions;32.478634;France;;Europe
236;Entry Level;40;France;;Europe
236;Senior Level;25;France;;Europe
237;All Positions;10;Germany;;Europe
237;Senior Level;0;Germany;;Europe
238;All Positions;38.805969;Italy;;Europe
238;Entry Level;46.031746;Italy;;Europe
238;Senior Level;38.709679;Italy;;Europe
